Applied Voltage (V),Current Density (mA/cm²),Substrate Concentration (g COD/L),Inoculum Type,HRT (d),pH,Temperature (°C),Substrate Type,Hydrogen Production Rate (HPR)
0.49963209507789,7.132536283187579,2.2587628239668867,Pure Culture,5.950827464123404,6.616958918576836,20.65235896683133,Glucose,3.5095081143524705
0.960571445127933,5.592915480269144,5.648059000094403,Pure Culture,4.497875187668623,6.2843243883482005,21.15405856831798,Acetate,5.056257757067759
0.7855951534491241,3.4405123547201137,8.792985440825879,Sludge,2.4731542131877133,7.999403057745865,28.88730698483029,Acetate,9.143063629036742
0.6789267873576292,8.231052687216012,7.456136420890831,Sludge,3.464121767626959,6.6507013043335865,25.51095878438967,Acetate,7.170143949503958
0.3248149123539492,7.004946139261853,8.162330904683772,Pure Culture,9.354857795637193,7.584384700020252,32.440791247419874,Acetate,5.975520199891201
0.32479561626896214,2.044860923776467,6.758441983751815,Sludge,7.083840480277198,7.585800360498428,39.84884578749558,Glucose,6.932839249302085
0.24646688973455957,9.153808252691503,7.076627362919599,Sludge,5.464430548118979,8.55215625744047,27.72646346152932,Glucose,7.346163096968867
0.8929409166199482,8.314103807770106,8.567358689870533,Pure Culture,1.1144340098820416,7.3947696092763895,31.476825082090265,Starch,9.359260557771307
0.6808920093945671,9.523099176273279,2.8718460841622666,Sludge,9.931738604405231,7.008614439847948,28.31207791814671,Acetate,2.8826817401031595
0.7664580622368364,7.39433532968942,5.149537154609835,Mixed,7.043094414051789,5.555485305586068,36.945433354437185,Starch,5.278300458025726
0.21646759543664196,6.327444361390004,2.601489697286221,Mixed,3.8523022961045044,5.462950426714821,38.04472806924476,Glucose,5.467993265144012
0.9759278817295955,4.473308844760879,9.882846075968146,Mixed,8.913417939980544,5.6172862611323175,37.5471122441052,Glucose,8.024231061515913
0.8659541126403374,9.360920591863126,9.468563727022826,Mixed,3.325884582626363,5.687393925308378,39.48744477358515,Starch,9.863013388800077
0.36987128854262097,8.727606950253879,0.874554708000806,Pure Culture,5.896149212644764,7.551508370654536,20.550383702808304,Acetate,1.7985572956078875
0.3454599737656805,0.9295773660087994,7.20296413889904,Pure Culture,6.724636873568426,7.963925001098314,36.79632324291062,Acetate,6.546746084456512
0.34672360788274703,0.750486257723894,9.289859015448826,Pure Culture,2.989570343083556,7.119966091705675,35.03544346078186,Acetate,9.526414455150814
0.4433937943676302,4.076401985341471,2.2154657787096683,Mixed,9.805575509205363,8.316070930181965,24.573888188007295,Acetate,2.807049100314123
0.6198051453057902,8.200256642427412,5.89547969024998,Mixed,7.733727153810978,8.965052906934533,39.12640186775055,Starch,7.095817009007072
0.5455560149136927,9.879123228491972,9.197138827086398,Sludge,6.020319029599629,8.280050516477424,22.96355856459891,Starch,6.699940960295664
0.43298331215843355,1.9289604654835177,0.822486796565089,Sludge,2.625351383577708,7.779529494703837,33.590998542678165,Glucose,4.394536786980104
0.6894823157779035,6.144241795845284,7.125492538844979,Mixed,1.4847238629822352,7.129970797748586,24.49780433631825,Acetate,8.040318885427729
0.3115950885216335,4.118463137994704,3.3248155700392323,Mixed,3.880538492688851,6.7954122866988325,28.627612975481494,Acetate,5.488554890300758
0.43371571882817456,9.71418677923873,9.281763856077038,Mixed,7.778686023220625,5.337569522178169,34.38319793889138,Acetate,6.615922650945116
0.4930894746349534,8.500129769789233,9.725053329070994,Mixed,3.4239816847182256,6.597474993578764,31.266492840660934,Starch,8.036262773683417
0.5648559873736287,8.46412269475581,9.470531646577623,Sludge,5.8560059844595465,8.640538547128537,28.550036626562232,Acetate,7.959163704575559
0.8281407691144109,4.9525850180522175,5.005035058245906,Mixed,7.551524590576689,8.232090519626212,26.526768618639743,Starch,4.79899350634269
0.3597390257266878,4.440785272207819,8.689405184398478,Sludge,1.9714934318181792,5.864205460046749,36.79319311417581,Acetate,8.483117747139053
0.6113875507308892,3.097367183341709,8.523219286083169,Mixed,7.1676821450428605,6.8664311387888635,22.876287006296273,Acetate,5.635640845287142
0.6739316550896339,1.0355672181838076,3.5314544958109284,Mixed,1.8268379893904023,8.266892810234179,28.602057530596,Glucose,6.036188566126304
0.2371603301759982,8.714862574423005,8.374697004431436,Mixed,9.686167679142969,5.26953821914209,38.075151435502846,Acetate,5.755301878675896
0.6860358815211507,8.222559586735738,0.8515725297971799,Sludge,5.395547170584456,6.549570342674637,36.91699100919935,Acetate,3.8098635368904183
0.33641929894983325,9.99731789621824,6.1645638455795035,Sludge,2.3560849693888963,8.40736494749579,28.018835249460935,Glucose,7.277144308861353
0.25204127438822366,9.9680499522021,2.685083954233179,Pure Culture,4.0814527243019185,6.6155914566804945,35.26216727202616,Starch,5.141475080731619
0.9591084298026666,5.776601203224961,1.6453854148841487,Mixed,4.720748043657353,5.310458578925763,36.463216614177185,Starch,5.12460775615594
0.9725056264596474,7.805380444214849,1.231055415477487,Pure Culture,7.823665099688836,7.170137474129006,37.777748480072596,Acetate,3.4337183041582193
0.846717878493169,9.475274433883067,7.114743370842327,Pure Culture,7.6908140746894835,8.446969979673181,30.89011538098456,Starch,6.710847604756828
0.4436910153386966,8.57165021143541,3.7288121557966285,Sludge,6.507464548035979,7.361142171812639,24.089217721094236,Acetate,5.186088503313348
0.2781376912051071,2.8498069665603776,7.385284329523234,Sludge,1.9533764130264366,5.905116432856927,25.106181530078633,Glucose,6.8346445912542215
0.7473864212097256,4.780169285445888,1.1208852375899525,Pure Culture,2.3641243442890625,6.536958480549526,25.913893480832083,Glucose,4.7602699999553
0.5521219949916811,1.7270144439392023,3.4952582093907982,Mixed,1.8438122858100097,6.800493444727729,31.87604961619231,Acetate,6.5918900898977295
0.2976305878758231,9.563484758957863,5.625167277565703,Sludge,6.194555049587951,7.317065415282107,20.65619248257217,Glucose,5.153953229521401
0.5961415280890161,6.25865902728336,8.011870065970154,Mixed,8.894245973602636,8.037404103010452,32.720849375599364,Glucose,6.777471065066187
0.22751081689217473,2.672106652282896,3.528148777854664,Mixed,4.904204610292946,5.395494470562541,27.28708476856464,Acetate,4.565672021694268
0.9274563216630256,6.881156501855639,6.445968076151586,Pure Culture,2.4476335656197157,8.558608132070265,25.90483604979284,Acetate,7.882371067120139
0.40702398528001354,6.37221828435001,8.916788608243778,Pure Culture,6.022380926340703,5.049238812064303,37.58993141456253,Glucose,8.063863132469981
0.7300178274831857,3.9025458213119846,6.350700287731893,Pure Culture,8.305769951791389,6.480209338697021,29.20004791161598,Starch,4.924970992459383
0.4493688608715288,1.5787971258964757,2.713115010159521,Pure Culture,7.67540855361637,5.10968123989063,21.901060910653854,Starch,1.771780125463591
0.6160544169422486,6.879945358131597,0.7318074247871111,Sludge,8.933057017075193,6.571896901381165,36.53493536052494,Acetate,2.36991128544612
0.6373682234746237,5.442923158586036,8.765939302058834,Sludge,3.5011188752398104,7.103250395493295,20.95282514873013,Acetate,7.223381165017513
0.3478835644204217,7.837024721488573,0.7020594030786778,Pure Culture,2.745584805409974,7.046725546326047,34.534984483363935,Starch,4.96546803626561
0.9756677022116469,5.441553260563937,8.809665890499895,Sludge,8.91834837347745,5.662513388113061,35.47812443541331,Glucose,6.63797207738418
0.8201062586888916,8.59572425302613,5.524902773258514,Pure Culture,6.918042815002208,7.58296204038245,27.052052118577166,Starch,6.026906398306117
0.9515991532513512,5.743114968357613,9.421143135872514,Mixed,3.7983603700679875,5.179113802018673,36.495757125555734,Starch,8.766603665222307
0.915861880342119,5.82891072958617,8.08844073984982,Mixed,7.681132455152583,8.047627280529662,30.31318811712907,Starch,6.867036799874632
0.6783199830488682,8.828209225254279,9.980374050066706,Mixed,8.336065460323312,8.786577735974184,29.265873065455935,Starch,7.297872729176085
0.9374993880184934,4.333087229017772,3.8317622467912464,Pure Culture,6.534804163070191,6.359075308604472,20.90806562937385,Acetate,3.1256678300395033
0.2707940016415356,1.773144670281087,7.788288744845706,Mixed,7.190956988919236,7.068957526857328,25.800583872978116,Acetate,6.061999433946911
0.3567862899353162,0.7734354249767202,4.318343679287801,Sludge,4.377339139983997,6.515641112235258,38.620199417706,Glucose,7.15288115023389
0.23618183112843047,7.673803928899381,5.058818392887134,Mixed,5.848261006087352,5.02684156121624,27.83647926567,Glucose,4.721560336564072
0.4602642646106115,6.392940737857915,6.461301900574516,Mixed,5.71743253653546,6.543498011580464,30.934010411135368,Glucose,5.360417423597313
0.5109418317515857,7.188757796942624,8.799932584770218,Mixed,8.632430120176947,8.166881037045385,30.640433579685038,Glucose,7.306581692919098
